,Flowering.time.at.Arkansas,Flag.leaf.length,Flag.leaf.width,Awn.presence,Panicle.number.per.plant,Plant.height,Panicle.length,Primary.panicle.branch.number,Seed.number.per.panicle,Florets.per.panicle,Panicle.fertility,Seed.length,Seed.width,Seed.length.width.ratio,Blast.resistance,Amylose.content,Alkali.spreading.value,Protein.content
NSFTV112@531e23fa.0,97,33.67,1.05,0,3.438011355,151.4285714,27.62222222,10.66666667,4.893760936,5.062019493,0.845,8.7536,2.245333333,3.899,1,22.745,7,7.65
NSFTV113@7a723d9e.0,59,29.31818182,0.845454545,1,3.325689829,90.90909091,18.76,7.1,4.475061501,4.635699391,0.852,7.332636364,3.387509091,2.165,5,15.38,7,8.45
NSFTV114@eac19fb8.0,84.58333333,37.6,1.625,0,3.028522096,108.8333333,26.64166667,12.66666667,5.165737902,5.642202536,0.621,8.137845455,3.232454545,2.518,3,14.03,6.958333334,9.1
NSFTV115@0bca95e0.0,105,15.41666667,0.716666667,1,2.890371758,123.3333333,20.98333333,8,4.465908119,4.586666714,0.886,8.023333333,3.708816667,2.163,9,21.32,6,8.7
NSFTV116@6cedf6aa.0,91.08333333,38.88333333,1.458333333,0,2.696876901,136.0833333,26.34545455,11.27272727,5.148022878,5.348837635,0.818,9.164941667,2.987408333,3.068,5,19.60666667,5.041666667,8.2
NSFTV117@5b144b9c.0,82.75,24.075,0.975,0,3.928552307,135.0833333,25.45555556,9.555555556,4.794286786,4.88073367,0.917,7.897675,3.241233333,2.437,4,0.453333333,7,7.95
NSFTV118@71bd9426.0,73.33333333,25.66666667,1.177777778,0,3.17805383,106.8888889,18.05,9.833333333,4.716264233,4.812184355,0.909,7.854366667,3.729766667,2.106,9,12.57666667,7,7.95
NSFTV119@3aa51818.0,114,45.71666667,1.116666667,0,3.648491393,90.91666667,30.79090909,11.45454545,5.030437921,5.362997923,0.717,9.937891667,2.75335,3.609,1,21.95,7,9.25
NSFTV120@8e6220e5.0,92.91666667,34.80833333,1.583333333,0,2.978925155,135.0833333,26.09090909,11.27272727,4.931198463,5.043425117,0.894,9.167141667,3.156908333,2.904,1,19.57,5.791666667,8.35
NSFTV121@280279b3.0,84.16666667,32.53333333,1.008333333,0,2.803360381,113.6666667,22.10909091,10.72727273,4.72812501,5.065228693,0.714,7.50465,3.709325,2.023,4,15.28333333,6.5,8.2
NSFTV122@b6dc1bcc.0,107.1111111,39.46666667,1.491666667,1,3.355735008,160.1666667,29.46666667,13,4.68981766,4.934473933,0.783,7.650075,3.193858333,2.395,3,22.12666667,6.5,10.05
NSFTV123@714ac141.0,92,27.38888889,1.2,1,3.789855371,132.1111111,23.6,9.875,4.937086606,5.072328863,0.874,7.511091667,3.097058333,2.425,3,24.79,6.25,7.55
NSFTV125@63f298ba.0,92.75,41.42222222,1.188888889,0,3.801091445,153.0833333,29.48888889,10.66666667,4.987404575,5.148140263,0.852,8.212183333,3.069025,2.676,6,23.59,5.833333334,7.4
NSFTV126@0f6a67da.0,100,25.74,1.43,0,3.604893798,144,24.18571429,13.14285714,4.771625801,5.041990396,0.763,7.450941667,3.566516667,2.089,1,25.19,6.375,9.3
NSFTV128@76a1efc9.0,81.25,29,1.4,0,3.273995124,116.5555556,24.275,11.25,5.15224007,5.281818367,0.878,7.70395,3.347641667,2.301,7,16.04666667,6.916666667,7.95
NSFTV129@8fafd383.0,88.83333333,26.09166667,1.166666667,0,3.795489189,136,26.44166667,10.25,4.864324175,5.112991301,0.78,7.633277778,3.099344444,2.463,3,25.15,5.944444445,7.75
NSFTV130@a796716d.0,87.75,23.06666667,1.083333333,0,3.83765859,144.3333333,24.61111111,8.444444444,4.830493179,4.940992861,0.895,7.544575,3.120641667,2.418,4,25.355,5.5,7.65
NSFTV131@d09d62e7.0,80.77777778,34.71,1.51,1,3.453157121,139.6,27.07,9.8,5.134490392,5.280379666,0.864,8.347644444,2.7529,3.032,6,27.20666667,5.875,7.05
NSFTV132@02cc7c6d.0,104.8333333,43.16666667,1.538888889,0,3.149882953,128.8888889,29.42,13.2,5.635114226,5.836404363,0.818,8.325758333,2.7148,3.067,1,26.5,6.527777778,7.75
NSFTV133@1a95985b.0,89.625,35.125,1.1625,1,2.95099638,119.25,25.7375,12,5.324837576,5.584435717,0.771,7.322225,3.6131875,2.027,9,0.395,6.958333334,7.2
NSFTV134@4ab486ec.0,81.6,31.37272727,1.281818182,0,2.47730205,110.8181818,21.80909091,12.09090909,5.184333921,5.370215106,0.83,8.646136364,3.961845455,2.182,5,15.03333333,6.25,9.9
NSFTV137@8653bbdb.0,82.33333333,30.83333333,1.133333333,0,4.04158821,130.2222222,27.91666667,8.666666667,4.675374445,4.728192001,0.949,8.116016667,3.0161,2.691,1,22.43333333,5.388888889,7.95
NSFTV138@1a946dc6.0,NA,43.25,0.716666667,0,3.737669618,139.2222222,24.56666667,11.16666667,3.751183337,4.722318099,0.379,7.243433333,2.883,2.512,6,25.72666667,7,9.6
