probIn scale
0.4412354 5.736465e-06
0.4418888 5.714962e-06
0.443756 5.741952e-06
0.4447143 5.744705e-06
0.4483809 5.745138e-06
0.4446351 5.758763e-06
0.443119 5.719022e-06
0.4375815 5.720765e-06
0.4365711 5.700993e-06
0.4341398 5.685767e-06
0.4388688 5.69098e-06
0.4358224 5.716513e-06
0.4404579 5.701003e-06
0.4396088 5.717756e-06
0.4404164 5.7096e-06
0.4342166 5.705797e-06
0.4292896 5.737644e-06
0.4261256 5.733177e-06
0.4247612 5.772374e-06
0.4219951 5.785176e-06
0.4215534 5.779188e-06
0.4235412 5.77859e-06
0.4211883 5.798867e-06
0.4238831 5.797854e-06
0.425684 5.790079e-06
0.4295425 5.810923e-06
0.427797 5.798257e-06
0.4237328 5.799509e-06
0.4201 5.786043e-06
0.417435 5.790717e-06
0.4182038 5.779646e-06
0.4191652 5.780951e-06
0.4174876 5.732921e-06
0.4169979 5.719179e-06
0.4173884 5.694867e-06
0.4222783 5.68226e-06
0.4214521 5.672343e-06
0.4147537 5.632934e-06
0.4163507 5.671033e-06
0.4161016 5.699027e-06
0.4108242 5.686406e-06
0.4138846 5.683096e-06
0.41418 5.679188e-06
0.416599 5.669446e-06
0.4165266 5.688824e-06
0.4123606 5.696235e-06
0.4121383 5.688752e-06
0.4152975 5.677037e-06
0.4167851 5.708059e-06
0.4188206 5.733776e-06
0.4167123 5.696986e-06
0.4222858 5.685517e-06
0.4194457 5.656431e-06
0.4164359 5.646655e-06
0.4197049 5.691782e-06
0.4186888 5.671199e-06
0.418733 5.698679e-06
0.4203304 5.695335e-06
0.4183849 5.726454e-06
0.4123792 5.720028e-06
0.4070803 5.717026e-06
0.4080222 5.74033e-06
0.408605 5.674398e-06
0.4144447 5.648667e-06
0.4174341 5.645589e-06
0.4179055 5.675677e-06
0.4238283 5.654025e-06
0.4243548 5.675096e-06
0.4215468 5.675878e-06
0.4223908 5.650043e-06
0.4264299 5.641796e-06
0.4274648 5.632903e-06
0.4288726 5.655415e-06
0.4313756 5.658701e-06
0.4259962 5.687778e-06
0.4277191 5.669299e-06
0.4237066 5.619102e-06
0.4208857 5.648334e-06
0.4169837 5.649727e-06
0.4192848 5.64595e-06
0.4210415 5.683125e-06
0.4206108 5.658215e-06
0.4213958 5.662325e-06
0.4264253 5.652881e-06
0.428353 5.6404e-06
0.429855 5.62695e-06
0.4323663 5.610972e-06
0.4377998 5.619877e-06
0.4382585 5.63498e-06
0.4312188 5.618885e-06
0.4317125 5.634292e-06
0.4311905 5.630218e-06
0.4337684 5.620257e-06
0.4376895 5.607906e-06
0.4321267 5.635564e-06
0.4365212 5.623213e-06
0.4362238 5.641893e-06
0.4373995 5.641421e-06
0.4390033 5.6552e-06
0.4401676 5.656112e-06
0.4444838 5.656374e-06
0.4457021 5.655615e-06
0.4459443 5.645696e-06
0.4418806 5.672912e-06
0.4490598 5.642705e-06
0.4516057 5.659642e-06
0.446828 5.653302e-06
0.4489022 5.688344e-06
0.4481339 5.665882e-06
0.4457735 5.657592e-06
0.4411271 5.672904e-06
0.4391155 5.677782e-06
0.4375323 5.696212e-06
0.4371387 5.68907e-06
0.4307923 5.689843e-06
0.4298226 5.676185e-06
0.4287526 5.661752e-06
0.4319602 5.670712e-06
0.4267169 5.703455e-06
0.4292259 5.70963e-06
0.4302065 5.729997e-06
0.4287176 5.717453e-06
0.4239991 5.71225e-06
0.423838 5.715512e-06
0.4234289 5.713619e-06
0.4217817 5.725176e-06
0.419377 5.69201e-06
0.4189476 5.670691e-06
0.4182743 5.707103e-06
0.4186718 5.690825e-06
0.4203469 5.70773e-06
0.4226801 5.719003e-06
0.424165 5.705311e-06
0.4258766 5.672943e-06
0.4285762 5.691779e-06
0.4289251 5.666592e-06
